ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Type,Furnished,Openfire,Terrace,Terrace Surface,Garden Exists,State of Building,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype
9952835,Leuven,3000,,,108.0,APARTMENT,APARTMENT,516600,NORMAL_SALE,2.0,,,2.0,False,,False,False,True,11.0,False,,,,0,False,BUY_REGULAR
9952834,Leuven,3000,,,109.0,APARTMENT,APARTMENT,529880,NORMAL_SALE,2.0,,,2.0,False,,False,False,True,12.0,False,,,,0,False,BUY_REGULAR
9952958,Leuven,3000,,,141.0,APARTMENT,APARTMENT,631375,NORMAL_SALE,3.0,,,3.0,False,,False,False,True,10.0,False,,A,30.0,0,False,BUY_REGULAR
11051315,Woluwe-Saint-Lambert,1200,2023.0,2.0,120.0,APARTMENT,APARTMENT,517000,NORMAL_SALE,3.0,2.0,,5.0,True,USA_HYPER_EQUIPPED,False,False,True,10.0,False,,,,0,False,BUY_REGULAR
11051322,Woluwe-Saint-Lambert,1200,2023.0,2.0,120.0,APARTMENT,APARTMENT,540000,NORMAL_SALE,2.0,2.0,,4.0,True,USA_HYPER_EQUIPPED,False,False,True,10.0,False,,,,0,False,BUY_REGULAR
11051324,Woluwe-Saint-Lambert,1200,2023.0,2.0,120.0,APARTMENT,APARTMENT,560000,NORMAL_SALE,3.0,3.0,2.0,8.0,True,USA_HYPER_EQUIPPED,False,False,True,10.0,False,,,,0,False,BUY_REGULAR
10707206,Assesse,5330,2024.0,3.0,,HOUSE,HOUSE,519500,NORMAL_SALE,4.0,1.0,2.0,7.0,True,HYPER_EQUIPPED,False,False,True,15.0,False,,A,80.0,0,False,BUY_REGULAR
10707204,Assesse,5330,2024.0,3.0,,HOUSE,HOUSE,539500,NORMAL_SALE,3.0,1.0,3.0,7.0,False,,False,False,True,15.0,False,,A,80.0,0,False,BUY_REGULAR
10707209,Assesse,5330,2024.0,4.0,,HOUSE,HOUSE,589500,NORMAL_SALE,3.0,1.0,3.0,7.0,False,,False,False,True,40.0,False,,A,80.0,0,False,BUY_REGULAR
10707202,Assesse,5330,2024.0,4.0,,HOUSE,HOUSE,659500,NORMAL_SALE,3.0,1.0,,4.0,False,,False,False,True,,False,,,,0,False,BUY_REGULAR
11156445,Haaltert,9450,1956.0,2.0,194.0,HOUSE,HOUSE,255000,NORMAL_SALE,3.0,1.0,1.0,5.0,False,,False,False,True,,False,,F,502.0,562,False,BUY_REGULAR
11047408,Lede,9340,2022.0,2.0,198.0,HOUSE,HOUSE,229000,NORMAL_SALE,3.0,1.0,2.0,6.0,False,,False,False,True,18.0,True,,,,0,False,BUY_REGULAR
11156440,HEMIKSEM,2620,1983.0,2.0,175.0,HOUSE,APARTMENT_BLOCK,435000,NORMAL_SALE,5.0,3.0,3.0,11.0,False,,False,False,True,5.0,True,,B,131.0,1468,,BUY_REGULAR
11156437,Schaerbeek,1030,2021.0,2.0,107.0,APARTMENT,APARTMENT,420000,NORMAL_SALE,3.0,2.0,2.0,7.0,True,HYPER_EQUIPPED,False,False,True,12.0,False,JUST_RENOVATED,A,35.43,1523,False,BUY_REGULAR
11156436,Lessines,7860,,4.0,,HOUSE,HOUSE,369347,NORMAL_SALE,3.0,1.0,,4.0,False,,False,False,True,,False,,,,0,False,BUY_REGULAR
11156432,Herzele Steenhuize-Wijnhuize,9550,1913.0,4.0,265.0,HOUSE,HOUSE,635000,NORMAL_SALE,4.0,1.0,2.0,7.0,True,HYPER_EQUIPPED,False,False,True,,False,TO_BE_DONE_UP,F,840.0,571,False,BUY_REGULAR
11156431,Lasne,1380,,2.0,210.0,HOUSE,HOUSE,795000,NORMAL_SALE,5.0,3.0,3.0,11.0,False,,False,False,True,25.0,True,AS_NEW,D,266.0,0,False,BUY_REGULAR
11156428,Brussels City,1000,2004.0,2.0,115.0,APARTMENT,APARTMENT,475000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,HYPER_EQUIPPED,False,False,True,,False,AS_NEW,B,94.0,2019,False,BUY_REGULAR
11156427,Steenokkerzeel,1820,,4.0,125.0,HOUSE,BUNGALOW,425000,NORMAL_SALE,2.0,1.0,,3.0,False,,False,False,True,,False,GOOD,E,457.0,0,False,BUY_REGULAR
11156423,Liège,4000,,2.0,119.0,APARTMENT,APARTMENT,290000,NORMAL_SALE,2.0,2.0,2.0,6.0,True,NOT_INSTALLED,False,False,False,,False,GOOD,B,166.0,0,False,BUY_REGULAR
11156422,Liège,4000,,2.0,392.0,HOUSE,MANSION,530000,NORMAL_SALE,6.0,3.0,3.0,12.0,True,INSTALLED,False,False,True,,False,GOOD,B,147.0,0,False,BUY_REGULAR
11156420,Herentals,2200,1974.0,2.0,97.0,APARTMENT,APARTMENT,159000,NORMAL_SALE,3.0,1.0,1.0,5.0,True,INSTALLED,False,False,True,5.0,False,GOOD,C,232.0,0,False,BUY_REGULAR
11156419,Herentals,2200,,3.0,97.0,HOUSE,HOUSE,285000,NORMAL_SALE,2.0,1.0,1.0,4.0,True,HYPER_EQUIPPED,False,False,True,,False,,E,438.0,0,False,BUY_REGULAR
11091510,Brugge,8200,1977.0,2.0,102.0,APARTMENT,APARTMENT,244000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,USA_SEMI_EQUIPPED,False,False,True,,False,GOOD,C,240.0,932,False,BUY_REGULAR
11066092,Oostende,8400,1989.0,4.0,194.0,HOUSE,VILLA,398800,NORMAL_SALE,3.0,1.0,2.0,6.0,True,INSTALLED,False,False,True,19.0,True,GOOD,F,534.0,1601,False,BUY_REGULAR
11156417,MOL,2400,1954.0,3.0,152.0,HOUSE,HOUSE,229000,NORMAL_SALE,3.0,1.0,1.0,5.0,False,,False,False,False,,False,,F,653.0,416,,BUY_REGULAR
11156415,Turnhout,2300,1940.0,2.0,140.0,HOUSE,HOUSE,219000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,INSTALLED,False,False,False,,False,,D,327.0,0,False,BUY_REGULAR
11156413,Lille,2275,1975.0,3.0,367.0,HOUSE,APARTMENT_BLOCK,439000,NORMAL_SALE,5.0,2.0,2.0,9.0,True,SEMI_EQUIPPED,False,False,True,,True,,E,484.0,1231,False,BUY_REGULAR
11156412,Halle,1500,2024.0,2.0,132.0,APARTMENT,APARTMENT,378000,NORMAL_SALE,3.0,2.0,2.0,7.0,True,USA_HYPER_EQUIPPED,False,False,True,25.0,False,AS_NEW,A,25.0,0,False,BUY_REGULAR
11156411,Affligem,1790,2021.0,3.0,215.0,HOUSE,HOUSE,413150,NORMAL_SALE,3.0,1.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,,False,AS_NEW,A,25.0,0,False,BUY_REGULAR
11156409,Affligem,1790,2021.0,3.0,215.0,HOUSE,HOUSE,414150,NORMAL_SALE,3.0,1.0,2.0,6.0,True,USA_HYPER_EQUIPPED,False,False,True,,False,AS_NEW,A,25.0,0,False,BUY_REGULAR
11156388,Bruxelles,1000,1800.0,2.0,140.0,APARTMENT,APARTMENT,320000,NORMAL_SALE,3.0,1.0,1.0,5.0,True,INSTALLED,False,False,False,,False,TO_RENOVATE,E,213.0,0,False,BUY_REGULAR
11156387,Berchem-Sainte-Agathe,1082,1948.0,2.0,159.0,HOUSE,HOUSE,419000,NORMAL_SALE,5.0,1.0,2.0,8.0,True,INSTALLED,False,False,True,7.0,True,GOOD,G,736.0,1346,False,BUY_REGULAR
11156386,Mechelen,2800,,2.0,160.0,HOUSE,HOUSE,425000,NORMAL_SALE,4.0,1.0,2.0,7.0,True,USA_INSTALLED,False,False,True,15.0,True,GOOD,C,208.0,0,False,BUY_REGULAR
11156384,Gent,9000,1937.0,2.0,54.0,APARTMENT,GROUND_FLOOR,295000,NORMAL_SALE,1.0,1.0,1.0,3.0,True,USA_HYPER_EQUIPPED,False,False,True,10.0,True,GOOD,F,529.0,0,False,BUY_REGULAR
11156380,Namur,5000,2025.0,4.0,96.0,APARTMENT,APARTMENT,355000,NORMAL_SALE,2.0,1.0,1.0,4.0,True,USA_INSTALLED,False,False,True,20.0,False,AS_NEW,A,80.0,0,False,BUY_REGULAR
11156377,ANTWERPEN 2018,2018,,2.0,112.0,APARTMENT,APARTMENT,499000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,INSTALLED,False,True,True,12.0,False,JUST_RENOVATED,B,158.0,0,False,BUY_REGULAR
11156376,ANTWERPEN 2050,2050,1965.0,,175.0,HOUSE,HOUSE,375000,NORMAL_SALE,1.0,1.0,2.0,4.0,True,HYPER_EQUIPPED,False,True,False,,True,GOOD,E,462.0,1254,False,BUY_REGULAR
10950827,Gent,9000,2023.0,,118.0,APARTMENT,APARTMENT,435500,NORMAL_SALE,3.0,2.0,2.0,7.0,False,,False,False,True,9.0,False,GOOD,A++,1.0,1,False,BUY_REGULAR
10623446,Bornem,2880,1887.0,3.0,415.0,HOUSE,HOUSE,438000,NORMAL_SALE,5.0,1.0,2.0,8.0,True,SEMI_EQUIPPED,False,True,True,30.0,True,TO_BE_DONE_UP,F,517.0,1725,False,BUY_REGULAR
10210690,Bornem,2880,2022.0,4.0,175.0,HOUSE,VILLA,439000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,INSTALLED,False,True,False,,True,,,,0,False,BUY_REGULAR
10961741,BLANKENBERGE,8370,1980.0,,128.0,APARTMENT,APARTMENT,439000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,INSTALLED,True,False,True,,False,AS_NEW,A,79.0,1075,,BUY_REGULAR
10292744,Antwerp,2000,,,50.0,APARTMENT,APARTMENT,439900,NORMAL_SALE,1.0,1.0,,2.0,False,,False,False,True,8.0,False,AS_NEW,,,0,False,BUY_REGULAR
10292747,Antwerp,2000,,,50.0,APARTMENT,APARTMENT,459550,NORMAL_SALE,1.0,1.0,,2.0,False,,False,False,True,8.0,False,AS_NEW,,,0,False,BUY_REGULAR
